solverid,instanceid,runtime,status,score,vresult
anders_satsuma-iter-kissat[main],8fcde459f828e0df9672933e68fa1af2,0.07,unsat-verified,0.07,unsat
anders_satsuma-iter-kissat[main],f497bda3018958d7ba2d1cd99da3982e,83.00,unsat-verified,83.00,unsat
anders_satsuma-iter-kissat[main],981b0e855eed536df112bf2e4ff98807,178.86,unsat-verified,178.86,unsat
anders_satsuma-iter-kissat[main],1fac905143027e3bf0932c09f427aa15,1.51,unsat-verified,1.51,unsat
anders_satsuma-iter-kissat[main],8aa9ffb211d1cba850be2ee9d173b7e1,558.82,unsat-verified,558.82,unsat
anders_satsuma-iter-kissat[main],117b99ffa16d21cb4ccb1c66829b0c7e,5000.35,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],ff706804d01ac07e8b8502de6331f2de,5000.09,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],b13ba48e09e575d6a628c02200ac23f7,933.84,unsat-verified,933.84,unsat
anders_satsuma-iter-kissat[main],15e666a42158e3304fc3979de28a5e44,31.24,unsat-verified,31.24,unsat
anders_satsuma-iter-kissat[main],fbbfbee9e6cba8bca18fbcfc23dcfcb6,30.23,unsat-verified,30.23,unsat
anders_satsuma-iter-kissat[main],826a01aaab9f98e8fb6d3fbbf349078b,1242.13,unsat-verified,1242.13,unsat
anders_satsuma-iter-kissat[main],1397d1d4d8d831069a2cdf911321da07,2.45,unsat-verified,2.45,unsat
anders_satsuma-iter-kissat[main],9fbe200523c648000d71b2c739093aa2,5000.11,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],48432767076e402d2accbf2da7260885,175.27,unsat-verified,175.27,unsat
anders_satsuma-iter-kissat[main],9aa85c5c114245c182ed6afbe3d8daed,170.34,unsat-verified,170.34,unsat
anders_satsuma-iter-kissat[main],1680176921bab3f01c4f7c33791c8c23,5000.09,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],5faba478cb08194407b5ec957ab08599,40.85,sat-verified,40.85,sat
anders_satsuma-iter-kissat[main],b0abaa97c4663edc2048d86de3e2b226,96.88,unsat-verified,96.88,unsat
anders_satsuma-iter-kissat[main],03e49a528251af9a7b7e1ca03c33b162,5000.10,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],ad2247443454da1fbd4543dd1fa5b57c,127.31,unsat-verified,127.31,unsat
anders_satsuma-iter-kissat[main],f52a349677a5b5b5315b5954b3181fe3,31.49,sat-verified,31.49,sat
anders_satsuma-iter-kissat[main],fa3e27fb7209620b792d5c75a75d669b,5000.18,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],47173e8ab499159d3aa301b0101fe170,57.38,unsat-verified,57.38,unsat
anders_satsuma-iter-kissat[main],546a73eef02dda3719018050b09e9392,244.25,unsat-verified,244.25,unsat
anders_satsuma-iter-kissat[main],ba14be209c2fc064726025f017cef17a,36.36,sat-verified,36.36,sat
anders_satsuma-iter-kissat[main],8e5da99e8323af36e983a99b4df03b92,4715.34,unsat-verified,4715.34,unsat
anders_satsuma-iter-kissat[main],a4f816482e853dfad9a685ac1459e66d,4306.13,unsat-verified,4306.13,unsat
anders_satsuma-iter-kissat[main],a80a252b748882980d9a80ddea8c5cff,4356.20,unsat-verified,4356.20,unsat
anders_satsuma-iter-kissat[main],3e7d8073c795d263ed862db64cf9f0fb,3856.54,unsat-verified,3856.54,unsat
anders_satsuma-iter-kissat[main],7ac164a9d153f0a2d9bf54a98d429636,3969.63,unsat-verified,3969.63,unsat
anders_satsuma-iter-kissat[main],991aec61a2751602d6d7b3e838035610,4156.77,unsat-verified,4156.77,unsat
anders_satsuma-iter-kissat[main],932e2329dd1efeafe7151a0ebf3a343f,4918.35,unsat-verified,4918.35,unsat
anders_satsuma-iter-kissat[main],a08d0fcc98fe0ce9c53b2fd0c69ccc4b,3635.21,unsat-verified,3635.21,unsat
anders_satsuma-iter-kissat[main],6ad453d6174581d982c4e75e37a38d79,3627.76,unsat-verified,3627.76,unsat
anders_satsuma-iter-kissat[main],c7449e5bc5ef75a69f8a454c13d371de,4291.18,unsat-verified,4291.18,unsat
anders_satsuma-iter-kissat[main],20ae1404784ed226a1e3e4c9b2d61a41,5000.03,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],5f81a94799858590a2bc96db917bf894,4604.05,unsat-verified,4604.05,unsat
anders_satsuma-iter-kissat[main],92b22042a950db2a9841f08d169d1bb5,0.43,unsat-verified,0.43,unsat
anders_satsuma-iter-kissat[main],5d8b47745dba3fe50f9c8712be389cd5,6.26,unsat-verified,6.26,unsat
anders_satsuma-iter-kissat[main],0d082b8fa36f662217bee5524cd24d3a,5.37,unsat-verified,5.37,unsat
anders_satsuma-iter-kissat[main],aa4e80476e6a6ea1034e303e6b2e46dc,0.35,unsat-verified,0.35,unsat
anders_satsuma-iter-kissat[main],a7e5d03892a17e51e22b688f51cf0aab,2.51,unsat-verified,2.51,unsat
anders_satsuma-iter-kissat[main],266e890b706cf336378bf148bbda1aff,0.49,unsat-verified,0.49,unsat
anders_satsuma-iter-kissat[main],71849248b47db583f56e77f55f31e525,0.43,unsat-verified,0.43,unsat
anders_satsuma-iter-kissat[main],c44762c4b177ac64fd0919f37de8382e,0.37,unsat-verified,0.37,unsat
anders_satsuma-iter-kissat[main],860788f93fb766e83e00a29de84180e7,1.04,unsat-verified,1.04,unsat
anders_satsuma-iter-kissat[main],d27f76623aed2fce608c092b2aafafc5,0.52,unsat-verified,0.52,unsat
anders_satsuma-iter-kissat[main],7b9620b5d7da55bda43595fe37867acd,0.55,unsat-verified,0.55,unsat
anders_satsuma-iter-kissat[main],12ac1c71ff0405cc150c2a2db6c4a255,0.32,unsat-verified,0.32,unsat
anders_satsuma-iter-kissat[main],3c51a565526faa922fb298a2658440e9,5000.10,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],a08c17f9a3888841cf7bbc75a807ff7e,5000.09,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],d10b8bcd1bb5977c5ffe2d1859e4335f,5000.11,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],231f3a169120d3cda9f8feea88a20d85,5000.07,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],43c298c756cac6d547a0457c2da7e468,5000.07,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],a60a138325ac9c88ab293ec0c801a95c,5000.08,solver-timeout,10000.00,sat
